Wavenumber,Intensity
650.4205,-0.206542
652.2841,-0.209079
654.1478,-0.211296
656.0115,-0.218643
657.8751,-0.228815
659.7388,-0.234434
661.6025,-0.236565
663.4661,-0.231344
665.3298,-0.219658
667.1935,-0.203061
669.0571,-0.181097
670.9208,-0.174893
672.7845,-0.186234
674.6481,-0.207517
676.5118,-0.224673
678.3755,-0.237784
680.2392,-0.248607
682.1028,-0.256796
683.9665,-0.264877
685.8302,-0.270996
687.6938,-0.273951
689.5575,-0.275875
691.4212,-0.278800
693.2848,-0.282984
695.1485,-0.287292
697.0122,-0.288755
698.8758,-0.287160
700.7395,-0.284730
702.6032,-0.279656
704.4669,-0.273171
706.3305,-0.272348
708.1942,-0.276994
710.0579,-0.283170
711.9215,-0.289504
713.7852,-0.294838
715.6489,-0.298360
717.5125,-0.298251
719.3762,-0.290085
721.2399,-0.262294
723.1035,-0.202075
724.9672,-0.109131
726.8309,-0.010862
728.6945,0.061172
730.5582,0.097641
732.4219,0.094739
734.2856,0.044387
736.1492,-0.042022
738.0129,-0.133048
739.8766,-0.200986
741.7402,-0.240846
743.6039,-0.262659
745.4676,-0.278336
747.3312,-0.292547
749.1949,-0.305698
751.0586,-0.317188
752.9222,-0.326284
754.7859,-0.332414
756.6496,-0.335723
758.5132,-0.335625
760.3769,-0.332157
762.2406,-0.325701
764.1043,-0.318403
765.9679,-0.315454
767.8316,-0.319076
769.6953,-0.325624
771.5589,-0.330554
773.4226,-0.333599
775.2863,-0.336234
777.1499,-0.339226
779.0136,-0.342262
780.8773,-0.344559
782.7409,-0.346964
784.6046,-0.350459
786.4683,-0.353441
788.3320,-0.354527
790.1956,-0.352414
792.0593,-0.348441
793.9230,-0.347085
795.7866,-0.349345
797.6503,-0.352527
799.5140,-0.353966
801.3776,-0.353330
803.2413,-0.350966
805.1050,-0.346667
806.9686,-0.339310
808.8323,-0.327743
810.6960,-0.311976
812.5596,-0.297150
814.4233,-0.292593
816.2870,-0.301348
818.1507,-0.314966
820.0143,-0.322994
821.8780,-0.322504
823.7417,-0.316139
825.6053,-0.307571
827.4690,-0.299813
829.3327,-0.295333
831.1963,-0.294409
833.0600,-0.295838
